rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
4;3;1;370;169;203900;Casa
4;3;1;365;140;120000;Casa
4;3;2;17865;;279000;Lote
5;4;3;740;360;185000;Casa
5;4;3;883;883;330000;Casa
5;4;4;335;317;499000;Casa
6;5;4;1914;445;900000;Casa
3;1;1;113;73;78000;PH
3;1;1;309;85;130000;Casa
2;1;1;50;45;98000;Departamento
2;1;1;50;48;109500;Departamento
2;1;1;50;45;98000;Departamento
2;1;1;42;37;78900;Departamento
2;2;1;60;60;90000;PH
3;2;1;67;42;65000;PH
3;2;1;260;62;89900;Casa
3;2;1;98;60;88000;Casa
4;3;2;139;139;159000;PH
4;3;3;154;90;45000;PH
4;3;1;840;90;60000;Casa
6;4;2;200;155;145000;Casa
5;4;2;334;284;260000;
5;4;3;1010;260;675000;Casa
4;4;4;300;172;50000;Departamento
6;6;2;230;230;295000;PH
3;2;2;114;58;140000;PH
3;2;1;80;80;135000;PH
4;3;2;88;88;145000;Casa
3;2;1;72;65;115000;Casa
3;3;2;88;88;135000;Casa
3;2;1;70;70;90000;Casa
5;4;3;192;170;379000;Departamento
2;1;1;45;45;95000;Departamento
1;1;1;30;30;76000;Departamento
3;2;1;86;71;360000;Departamento
3;2;2;73;73;375000;Departamento
2;1;1;45;45;95000;Departamento
2;1;1;43;41;99000;Departamento
2;1;1;45;45;95000;Departamento
5;3;2;130;120;160000;Departamento
2;1;;25;23;70000;
3;2;2;80;65;130000;Departamento
3;2;2;75;72;140000;Departamento
5;4;4;880;350;495000;Casa
2;2;1;225;115;180000;Casa
2;1;2;68;53;140000;Departamento
4;3;2;106;100;395000;Departamento
3;2;2;78;68;255000;Departamento
2;1;2;56;50;159000;Departamento
3;2;2;118;109;400000;Departamento
2;1;1;5119;4685;133094;Departamento
8;7;5;240;240;575000;PH
8;6;2;216;170;260000;PH
9;4;2;248;112;180000;Casa
8;7;6;600;500;680000;Casa
18;9;6;300;;340000;
1;1;1;20;20;36000;PH
1;1;2;770;770;349000;Casa
1;1;1;42;42;65000;Departamento
1;1;1;36;36;51000;Departamento
1;1;1;20;20;59000;Departamento
1;1;1;29;29;108000;Departamento
1;1;1;47;40;262000;Departamento
1;1;1;32;32;50000;Departamento
1;0;1;49;42;142000;Departamento
1;1;1;39;34;108000;Departamento
1;1;1;38;38;119000;Departamento
1;1;1;38;35;126700;Departamento
1;1;1;42;30;113000;Departamento
1;1;1;32;33;65000;Departamento
1;1;1;40;36;129000;Departamento
1;0;1;34;31;79000;Departamento
1;0;1;47;42;91225;
1;0;1;51;42;95325;
1;0;1;51;42;92070;
1;1;1;30;30;75000;Departamento
1;0;1;34;31;79000;Departamento
1;0;1;32;30;85000;Departamento
1;0;1;30;27;100000;Departamento
1;0;1;35;31;119000;Departamento
1;1;1;38;34;75000;Departamento
1;0;;38;32;85000;Departamento
2;1;1;60;47;32000;PH
2;1;1;49;49;104000;PH
2;1;1;41;34;70000;PH
2;1;1;62;48;105000;PH
2;1;1;42;42;100000;PH
2;1;1;47;47;117000;PH
2;1;1;52;47;175000;PH
2;1;1;57;50;60000;PH
2;1;1;50;45;65000;Casa
2;1;1;452;129;180000;Casa
2;1;1;151;108;300000;
2;1;1;50;50;68000;Departamento
2;1;1;53;53;97500;Departamento
2;1;1;30;30;53000;Departamento
2;1;1;53;39;98000;Departamento
2;1;1;51;43;85000;Departamento
2;1;1;48;43;59800;Departamento
2;1;1;52;52;68000;Departamento
2;1;1;51;41;68000;Departamento
2;1;1;70;70;110000;Departamento
2;1;1;51;43;85000;Departamento
2;1;1;59;52;135000;Departamento
2;1;1;55;51;140000;Departamento
